# STATION NETWORK LAT LON
RIY CR 45.325086 14.483006
UDBI CR 44.531422 15.769351
DBRK CR 42.669083 18.146870
KASN CR 45.913696 16.103375
STON CR 42.871600 17.699900
VIRC CR 44.292497 15.053954
GRIZ CR 45.208225 14.714780
RUJC CR 45.128786 16.266751
PETR CR 45.723000 27.231000
LSTV CR 42.768552 16.891928
KALN CR 46.131166 16.455717
STA CR 42.600814 18.312441
HVAR CR 43.177550 16.448938
RABC CR 44.750429 14.782104
PLIT CR 44.878389 15.623055
RUGV CR 45.751410 16.229518
VENJ CR 45.435600 17.848200
MOSL CR 45.613500 16.754400
PTJ CR 45.907328 15.968193
OZLJ CR 45.615270 15.467266
DUGI CR 43.991800 15.057900
NVLJ CR 44.563470 14.871050
BSKA CR 44.971900 14.751442
ZIRJ CR 43.654255 15.643891
KSY CR 44.688190 15.270395
MORI CR 43.866017 15.707297
CACV CR 43.608877 16.784453
LOBO CR 46.155100 16.068600
ZAG CR 45.827084 15.986870
MAKA CR 43.287712 17.019674
SLNJ CR 45.134437 15.517110
BRJN CR 44.905732 13.750296
KIJV CR 44.004883 16.404696
CRET CR 45.843205 16.019800
RICI CR 43.494400 17.133000
VINV CR 43.590500 16.057800
KRJB CR 45.292600 13.816700
