Year,Month,Day,Time,Lat,Lon,Depth,Mag,Region,Timestamp
2024,09,19,10:17:52,-5.6036,82.6218,10.9,5.1,"SOUTH INDIAN OCEAN",1726741072
2024,09,19,08:41:00,-5.5393,147.4772,185.3,5.6,"EASTERN NEW GUINEA REG., P.N.G.",1726735260
2024,09,19,07:45:36,2.16,128.7027,49.6,5.2,"HALMAHERA, INDONESIA",1726731936
2024,09,19,05:20:57,10.5615,91.6829,10,5.5,"ANDAMAN ISLANDS, INDIA REGION",1726723257
2024,09,18,02:41:06,-7.2397,107.5693,10,5.1,"JAVA, INDONESIA",1726627266
2024,09,17,06:40:58,-5.0024,129.9207,119.6,5.1,"BANDA SEA",1726555258
2024,09,16,18:11:59,12.9471,144.1852,10,5,"SOUTH OF MARIANA ISLANDS",1726510319
2024,09,16,14:13:47,31.6491,131.7649,18.1,5.5,"KYUSHU, JAPAN",1726496027
2024,09,16,11:36:34,17.1539,147.2254,31,6.3,"MARIANA ISLANDS REGION",1726486594
2024,09,15,13:08:08,1.3429,118.4805,6.5,5.5,"BORNEO",1726405688
2024,09,15,09:54:33,-7.3907,106.6451,49.7,5,"JAVA, INDONESIA",1726394073
2024,09,14,21:37:37,1.8996,99.0849,127.9,5.1,"NORTHERN SUMATRA, INDONESIA",1726349857
2024,09,14,11:41:32,13.0321,144.1907,10,5.5,"MARIANA ISLANDS",1726314092
2024,09,13,23:03:41,29.7999,130.8548,29,5.7,"RYUKYU ISLANDS, JAPAN",1726268621
2024,09,13,06:33:49,4.5327,126.5069,79.4,5.1,"TALAUD ISLANDS, INDONESIA",1726209229
2024,09,12,23:48:14,30.9497,141.3197,21,5.2,"SOUTHEAST OF HONSHU, JAPAN",1726184894
2024,09,12,06:20:23,12,143.7881,14.9,5.1,"SOUTH OF MARIANA ISLANDS",1726122023
2024,09,11,16:46:04,-3.2728,146.36,10,6.3,"BISMARCK SEA",1726073164
2024,09,11,07:27:59,31.1773,70.6295,10,5.4,"PAKISTAN",1726039679
2024,09,09,21:01:31,4.3537,126.7401,72.2,5.4,"TALAUD ISLANDS, INDONESIA",1725915691
2024,09,08,23:15:32,-4.1123,142.9635,66.5,5,"NEW GUINEA, PAPUA NEW GUINEA",1725837332
2024,09,08,14:53:24,-10.808,166.25,191.2,5,"SANTA CRUZ ISLANDS",1725807204
2024,09,08,05:01:41,-7.4177,156.1219,42.3,5.5,"SOLOMON ISLANDS",1725771701
2024,09,08,02:44:59,-12.4,166.6643,35,5.1,"SANTA CRUZ ISLANDS",1725763499
2024,09,07,13:42:52,32.2043,137.7326,385,5.2,"SOUTHEAST OF HONSHU, JAPAN",1725716572
2024,09,07,05:16:50,23.9169,121.7303,21.9,5.1,"TAIWAN",1725686210
2024,09,06,19:02:03,-8.1448,106.8036,25.6,5,"SOUTH OF JAVA, INDONESIA",1725649323
2024,09,06,01:06:35,-5.4079,102.6434,19.6,5.3,"SOUTHERN SUMATRA, INDONESIA",1725584795
2024,09,05,04:31:31,-0.1858,124.565,64.1,5.1,"SOUTHERN MOLUCCA SEA",1725510691
2024,09,05,01:03:16,-3.487,144.2508,10,6.2,"NEAR N COAST OF NEW GUINEA, PNG.",1725498196
2024,09,04,19:09:19,-10.7702,165.8853,104.5,5.4,"SANTA CRUZ ISLANDS",1725476959
2024,09,04,09:40:44,-7.4894,126.5235,10,5,"BANDA SEA",1725442844
2024,09,03,23:55:46,14.8461,122.6003,10,5,"LUZON, PHILIPPINES",1725407746
2024,09,03,23:16:45,14.8725,122.6185,28,5.3,"LUZON, PHILIPPINES",1725405405
2024,09,02,08:26:24,23.8818,121.6595,28.7,5,"TAIWAN",1725265584
2024,09,01,20:13:34,-6.8225,155.5322,39,6.4,"SOLOMON ISLANDS",1725221614
2024,09,01,19:59:25,3.8194,126.4897,50.7,5,"TALAUD ISLANDS, INDONESIA",1725220765
2024,09,01,07:38:19,-5.8785,149.5363,100.1,5.3,"NEW BRITAIN REGION, P.N.G.",1725176299
2024,09,01,03:42:49,8.1824,91.7074,10,5.2,"NICOBAR ISLANDS, INDIA REGION",1725162169
2024,09,01,00:49:26,4.7359,125.2086,10,5,"TALAUD ISLANDS, INDONESIA",1725151766
