latitude,longitude,depth,magnitude,magnitude_type,year,month,day,hour,minute,seconds
41.8133,142.6682,56.44,3.60,Mw,2025,10,1,2,56,38.820
38.6988,141.9758,58.73,4.50,Mw,2025,10,1,14,50,6.090
37.8290,144.2092,26.47,4.10,Mw,2025,10,1,17,40,51.870
33.5060,142.3435,43.96,4.00,Mw,2025,10,1,19,26,15.760
37.8340,144.2180,27.48,3.80,Mw,2025,10,1,23,1,58.100
37.8247,144.2168,26.91,3.80,Mw,2025,10,2,15,55,27.140
34.8467,140.1038,60.10,4.20,Mw,2025,10,3,3,37,7.360
39.6538,142.2683,32.97,4.00,Mw,2025,10,4,14,15,16.680
37.4198,141.5855,45.11,5.90,Mw,2025,10,4,15,21,8.540
37.3807,144.8723,42.46,3.60,Mw,2025,10,5,3,55,26.460
37.7378,144.2667,29.35,3.70,Mw,2025,10,5,22,41,6.690
39.7592,141.8375,58.62,3.90,Mw,2025,10,6,2,31,7.310
37.7407,144.2318,29.24,4.50,Mw,2025,10,6,14,20,25.580
37.7417,144.2463,30.49,4.60,Mw,2025,10,6,14,58,0.520
37.8018,144.2157,26.69,3.90,Mw,2025,10,6,16,26,54.790
38.1772,144.7875,24.50,3.80,Mw,2025,10,6,16,44,0.240
37.7330,144.2643,29.74,4.00,Mw,2025,10,6,17,10,50.560
37.7455,144.2627,30.11,4.30,Mw,2025,10,6,18,25,5.010
37.5310,141.3745,51.58,5.20,Mw,2025,10,7,0,30,23.980
37.6992,144.2242,29.18,4.40,Mw,2025,10,7,1,17,17.320
37.7058,144.2137,29.47,4.10,Mw,2025,10,7,1,42,52.000
37.7278,144.2515,30.37,3.70,Mw,2025,10,7,6,1,1.390
37.6833,144.2190,26.75,3.50,Mw,2025,10,7,6,20,17.030
41.0095,143.1265,23.13,3.80,Mw,2025,10,8,7,16,33.260
36.9340,136.3753,12.32,3.70,Mw,2025,10,11,19,24,59.700
41.3578,144.3953,32.64,3.70,Mw,2025,10,12,20,18,55.910
36.7093,142.2728,13.56,3.60,Mw,2025,10,12,23,22,32.250
38.6100,142.3988,62.44,4.40,Mw,2025,10,13,3,25,47.280
