# Santorini first-ML-NPE station set: 11 reliable stations.
# Derived from scripts/santorini_pathbreaker/stations/stations.txt (nearest 15 to 36.62,25.69)
# with the unusable/unreliable stations dropped per
# scripts/santorini_pathbreaker/diagnostics/STATION_COMPLETENESS_SUMMARY.md:
#   ANAF, THT1  -> no data in any event h5 (absent 8/8)
#   SNT5        -> present but dropped every time it appears
#   AMGA        -> frequently dropped (amplitude glitch / low coherence), usable 3/8
# STATION NETWORK LAT LON
ANYD HT 36.63001 25.67795
THR8 HT 36.40700 25.47877
CMBO HT 36.47090 25.40560
SNT1 HA 36.41590 25.42820
THERA HL 36.36699 25.47526
SANT HL 36.37052 25.45926
THR3 HT 36.40910 25.40080
SAP3 HL 36.43560 25.34542
IOSI HA 36.72247 25.28869
GVRL HT 36.34564 25.43832
THR5 HT 36.41720 25.34790
