# Santorini v3 ALL-v2-STATIONS set: the 23 stations from
# scripts/santorini_pathbreaker/stations/stations_v2.txt that the catalogue_v2
# NOISE catalogue actually covers. The 3 v2 stations with NO noise in
# catalogue_v2 (ANAF, THT1, NISR) are dropped so RealNoiseSampler can build a
# complete window (otherwise: "no noise window matched data-vector length").
# STATION NETWORK LAT LON
ANYD HT 36.63001 25.67795
AMGA HL 36.83156 25.89384
THR8 HT 36.40700 25.47877
CMBO HT 36.47090 25.40560
SNT1 HA 36.41590 25.42820
THERA HL 36.36699 25.47526
SANT HL 36.37052 25.45926
THR3 HT 36.40910 25.40080
SNT5 HA 36.40370 25.39530
SAP3 HL 36.43560 25.34542
IOSI HA 36.72247 25.28869
GVRL HT 36.34564 25.43832
THR5 HT 36.41720 25.34790
APE HL 37.07274 25.52301
KARY HA 38.03210 24.43700
SMG HL 37.70425 26.83772
BODT KO 37.06220 27.31030
ASTA HL 36.54552 26.35295
ARG HL 36.21356 28.12122
NPS HL 35.26134 25.61037
IACM HL 35.30580 25.07090
MHLO HL 36.68984 24.40171
SERI HA 37.16090 24.48530
